libattr1:amd64	1:2.5.1-4	attr	1:2.5.1-4
libaudit-common	1:3.0.9-1	audit	1:3.0.9-1
libaudit1:amd64	1:3.0.9-1	audit	1:3.0.9-1
libavc1394-0:amd64	0.5.4-5	libavc1394	0.5.4-5
libavcodec59:amd64	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
libavdevice59:amd64	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
libavfilter8:amd64	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
libavformat59:amd64	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
libavutil57:amd64	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
libblas3:amd64	3.11.0-2	lapack	3.11.0-2
libblkid1:amd64	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
libbluray2:amd64	1:1.3.4-1	libbluray	1:1.3.4-1
libbrotli1:amd64	1.0.9-2+b6	brotli	1.0.9-2
libbs2b0:amd64	3.1.0+dfsg-7	libbs2b	3.1.0+dfsg-7
libbsd0:amd64	0.11.7-2	libbsd	0.11.7-2
libbz2-1.0:amd64	1.0.8-5+b1	bzip2	1.0.8-5
libc-bin	2.36-9+deb12u14	glibc	2.36-9+deb12u14
libc6:amd64	2.36-9+deb12u14	glibc	2.36-9+deb12u14
libcaca0:amd64	0.99.beta20-3+deb12u1	libcaca	0.99.beta20-3+deb12u1
libcairo-gobject2:amd64	1.16.0-7	cairo	1.16.0-7
libcairo2:amd64	1.16.0-7	cairo	1.16.0-7
libcap-ng0:amd64	0.8.3-1+b3	libcap-ng	0.8.3-1
libcap2:amd64	1:2.66-4+deb12u3+b1	libcap2	1:2.66-4+deb12u3
libcdio-cdda2:amd64	10.2+2.0.1-1	libcdio-paranoia	10.2+2.0.1-1
libcdio-paranoia2:amd64	10.2+2.0.1-1	libcdio-paranoia	10.2+2.0.1-1
libcdio19:amd64	2.1.0-4	libcdio	2.1.0-4
libchromaprint1:amd64	1.5.1-2+b1	chromaprint	1.5.1-2
libcjson1:amd64	1.7.15-1+deb12u4	cjson	1.7.15-1+deb12u4
libcodec2-1.0:amd64	1.0.5-1	codec2	1.0.5-1
libcom-err2:amd64	1.47.0-2+b2	e2fsprogs	1.47.0-2
libcrypt1:amd64	1:4.4.33-2	libxcrypt	1:4.4.33-2
libdatrie1:amd64	0.2.13-2+b1	libdatrie	0.2.13-2
libdav1d6:amd64	1.0.0-2+deb12u1	dav1d	1.0.0-2+deb12u1
libdb5.3:amd64	5.3.28+dfsg2-1	db5.3	5.3.28+dfsg2-1
libdbus-1-3:amd64	1.14.10-1~deb12u1	dbus	1.14.10-1~deb12u1
libdc1394-25:amd64	2.2.6-4	libdc1394	2.2.6-4
libdebconfclient0:amd64	0.270	cdebconf	0.270
libdecor-0-0:amd64	0.1.1-2	libdecor-0	0.1.1-2
libdeflate0:amd64	1.14-1	libdeflate	1.14-1
libdrm-amdgpu1:amd64	2.4.114-1+b1	libdrm	2.4.114-1
libdrm-common	2.4.114-1	libdrm	2.4.114-1
libdrm-intel1:amd64	2.4.114-1+b1	libdrm	2.4.114-1
libdrm-nouveau2:amd64	2.4.114-1+b1	libdrm	2.4.114-1
libdrm-radeon1:amd64	2.4.114-1+b1	libdrm	2.4.114-1
libdrm2:amd64	2.4.114-1+b1	libdrm	2.4.114-1
libedit2:amd64	3.1-20221030-2	libedit	3.1-20221030-2
libelf1:amd64	0.188-2.1	elfutils	0.188-2.1
libepoxy0:amd64	1.5.10-1	libepoxy	1.5.10-1
libexpat1:amd64	2.5.0-1+deb12u3	expat	2.5.0-1+deb12u3
libext2fs2:amd64	1.47.0-2+b2	e2fsprogs	1.47.0-2
libffi8:amd64	3.4.4-1	libffi	3.4.4-1
libflac12:amd64	1.4.2+ds-2	flac	1.4.2+ds-2
libflite1:amd64	2.2-5	flite	2.2-5
libfontconfig1:amd64	2.14.1-4	fontconfig	2.14.1-4
libfreetype6:amd64	2.12.1+dfsg-5+deb12u4	freetype	2.12.1+dfsg-5+deb12u4
libfribidi0:amd64	1.0.8-2.1	fribidi	1.0.8-2.1
libgbm1:amd64	22.3.6-1+deb12u2	mesa	22.3.6-1+deb12u2
libgcc-s1:amd64	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libgcrypt20:amd64	1.10.1-3+deb12u1	libgcrypt20	1.10.1-3+deb12u1
libgdk-pixbuf-2.0-0:amd64	2.42.10+dfsg-1+deb12u4	gdk-pixbuf	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4	gdk-pixbuf	2.42.10+dfsg-1+deb12u4
libgfortran5:amd64	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libgl1:amd64	1.6.0-1	libglvnd	1.6.0-1
libgl1-mesa-dri:amd64	22.3.6-1+deb12u2	mesa	22.3.6-1+deb12u2
libglapi-mesa:amd64	22.3.6-1+deb12u2	mesa	22.3.6-1+deb12u2
libglib2.0-0:amd64	2.74.6-2+deb12u9	glib2.0	2.74.6-2+deb12u9
libglvnd0:amd64	1.6.0-1	libglvnd	1.6.0-1
libglx-mesa0:amd64	22.3.6-1+deb12u2	mesa	22.3.6-1+deb12u2
libglx0:amd64	1.6.0-1	libglvnd	1.6.0-1
libgme0:amd64	0.6.3-6	game-music-emu	0.6.3-6
libgmp10:amd64	2:6.2.1+dfsg1-1.1	gmp	2:6.2.1+dfsg1-1.1
libgnutls30:amd64	3.7.9-2+deb12u7	gnutls28	3.7.9-2+deb12u7
libgomp1:amd64	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libgpg-error0:amd64	1.46-1	libgpg-error	1.46-1
libgraphite2-3:amd64	1.3.14-1+deb12u1	graphite2	1.3.14-1+deb12u1
libgsm1:amd64	1.0.22-1	libgsm	1.0.22-1
libgssapi-krb5-2:amd64	1.20.1-2+deb12u5	krb5	1.20.1-2+deb12u5
libharfbuzz0b:amd64	6.0.0+dfsg-3	harfbuzz	6.0.0+dfsg-3
libhogweed6:amd64	3.8.1-2	nettle	3.8.1-2
libhwy1:amd64	1.0.3-3+deb12u1	highway	1.0.3-3+deb12u1
libicu72:amd64	72.1-3+deb12u1	icu	72.1-3+deb12u1
libidn2-0:amd64	2.3.3-1+b1	libidn2	2.3.3-1
libiec61883-0:amd64	1.2.0-6+b1	libiec61883	1.2.0-6
libjack-jackd2-0:amd64	1.9.21~dfsg-3	jackd2	1.9.21~dfsg-3
libjbig0:amd64	2.1-6.1	jbigkit	2.1-6.1
libjpeg62-turbo:amd64	1:2.1.5-2	libjpeg-turbo	1:2.1.5-2
libjxl0.7:amd64	0.7.0-10+deb12u1	jpeg-xl	0.7.0-10+deb12u1
libk5crypto3:amd64	1.20.1-2+deb12u5	krb5	1.20.1-2+deb12u5
libkeyutils1:amd64	1.6.3-2	keyutils	1.6.3-2
libkrb5-3:amd64	1.20.1-2+deb12u5	krb5	1.20.1-2+deb12u5
libkrb5support0:amd64	1.20.1-2+deb12u5	krb5	1.20.1-2+deb12u5
liblapack3:amd64	3.11.0-2	lapack	3.11.0-2
liblcms2-2:amd64	2.14-2+deb12u1	lcms2	2.14-2+deb12u1
liblerc4:amd64	4.0.0+ds-2	lerc	4.0.0+ds-2
liblilv-0-0:amd64	0.24.14-1	lilv	0.24.14-1
libllvm15:amd64	1:15.0.6-4+b1	llvm-toolchain-15	1:15.0.6-4
liblz4-1:amd64	1.9.4-1	lz4	1.9.4-1
liblzma5:amd64	5.4.1-1+deb12u1	xz-utils	5.4.1-1+deb12u1
libmbedcrypto7:amd64	2.28.3-1	mbedtls	2.28.3-1
libmd0:amd64	1.0.4-2	libmd	1.0.4-2
libmfx1:amd64	22.5.4-1	intel-mediasdk	22.5.4-1
libmount1:amd64	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
libmp3lame0:amd64	3.100-6	lame	3.100-6
libmpg123-0:amd64	1.31.2-1+deb12u1	mpg123	1.31.2-1+deb12u1
libmysofa1:amd64	1.3.1~dfsg0-1	libmysofa	1.3.1~dfsg0-1
libncursesw6:amd64	6.4-4	ncurses	6.4-4
libnettle8:amd64	3.8.1-2	nettle	3.8.1-2
libnorm1:amd64	1.5.9+dfsg-2	norm	1.5.9+dfsg-2
libnuma1:amd64	2.0.16-1	numactl	2.0.16-1
libogg0:amd64	1.3.5-3	libogg	1.3.5-3
libopenal-data	1:1.19.1-2	openal-soft	1:1.19.1-2
libopenal1:amd64	1:1.19.1-2	openal-soft	1:1.19.1-2
libopenjp2-7:amd64	2.5.0-2+deb12u3	openjpeg2	2.5.0-2+deb12u3
libopenmpt0:amd64	0.6.9-1	libopenmpt	0.6.9-1
libopus0:amd64	1.3.1-3	opus	1.3.1-3
libp11-kit0:amd64	0.24.1-2	p11-kit	0.24.1-2
libpam-modules:amd64	1.5.2-6+deb12u2	pam	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2	pam	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2	pam	1.5.2-6+deb12u2
libpam0g:amd64	1.5.2-6+deb12u2	pam	1.5.2-6+deb12u2
libpango-1.0-0:amd64	1.50.12+ds-1	pango1.0	1.50.12+ds-1
libpangocairo-1.0-0:amd64	1.50.12+ds-1	pango1.0	1.50.12+ds-1
libpangoft2-1.0-0:amd64	1.50.12+ds-1	pango1.0	1.50.12+ds-1
libpciaccess0:amd64	0.17-2	libpciaccess	0.17-2
libpcre2-8-0:amd64	10.42-1	pcre2	10.42-1
libpgm-5.3-0:amd64	5.3.128~dfsg-2	libpgm	5.3.128~dfsg-2
libpixman-1-0:amd64	0.42.2-1	pixman	0.42.2-1
libplacebo208:amd64	4.208.0-3	libplacebo	4.208.0-3
libpng16-16:amd64	1.6.39-2+deb12u5	libpng1.6	1.6.39-2+deb12u5
libpocketsphinx3:amd64	0.8+5prealpha+1-15	pocketsphinx	0.8+5prealpha+1-15
libpostproc56:amd64	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
libpulse0:amd64	16.1+dfsg1-2+b1	pulseaudio	16.1+dfsg1-2
libquadmath0:amd64	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
librabbitmq4:amd64	0.11.0-1+deb12u3	librabbitmq	0.11.0-1+deb12u3
librav1e0:amd64	0.5.1-6	rust-rav1e	0.5.1-6
libraw1394-11:amd64	2.1.2-2	libraw1394	2.1.2-2
librist4:amd64	0.2.7+dfsg-1	librist	0.2.7+dfsg-1
librsvg2-2:amd64	2.54.7+dfsg-1~deb12u1	librsvg	2.54.7+dfsg-1~deb12u1
librubberband2:amd64	3.1.2+dfsg0-1	rubberband	3.1.2+dfsg0-1
libsamplerate0:amd64	0.2.2-3	libsamplerate	0.2.2-3
libsdl2-2.0-0:amd64	2.26.5+dfsg-1	libsdl2	2.26.5+dfsg-1
libseccomp2:amd64	2.5.4-1+deb12u1	libseccomp	2.5.4-1+deb12u1
libselinux1:amd64	3.4-1+b6	libselinux	3.4-1
libsemanage-common	3.4-1	libsemanage	3.4-1
libsemanage2:amd64	3.4-1+b5	libsemanage	3.4-1
libsensors-config	1:3.6.0-7.1	lm-sensors	1:3.6.0-7.1
libsensors5:amd64	1:3.6.0-7.1	lm-sensors	1:3.6.0-7.1
libsepol2:amd64	3.4-2.1	libsepol	3.4-2.1
libserd-0-0:amd64	0.30.16-1	serd	0.30.16-1
libshine3:amd64	3.1.1-2	shine	3.1.1-2
libslang2:amd64	2.3.3-3	slang2	2.3.3-3
libsmartcols1:amd64	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
libsnappy1v5:amd64	1.1.9-3	snappy	1.1.9-3
libsndfile1:amd64	1.2.0-1+deb12u1	libsndfile	1.2.0-1+deb12u1
libsndio7.0:amd64	1.9.0-0.3+b2	sndio	1.9.0-0.3
libsodium23:amd64	1.0.18-1+deb12u1	libsodium	1.0.18-1+deb12u1
libsord-0-0:amd64	0.16.14+git221008-1	sord	0.16.14+git221008-1
libsoxr0:amd64	0.1.3-4	libsoxr	0.1.3-4
libspeex1:amd64	1.2.1-2	speex	1.2.1-2
libsphinxbase3:amd64	0.8+5prealpha+1-16	sphinxbase	0.8+5prealpha+1-16
libsratom-0-0:amd64	0.6.14-1	sratom	0.6.14-1
libsrt1.5-gnutls:amd64	1.5.1-1+deb12u1	srt	1.5.1-1+deb12u1
libss2:amd64	1.47.0-2+b2	e2fsprogs	1.47.0-2
libssh-gcrypt-4:amd64	0.10.6-0+deb12u2	libssh	0.10.6-0+deb12u2
libssl3:amd64	3.0.20-1~deb12u2	openssl	3.0.20-1~deb12u2
libstdc++6:amd64	12.2.0-14+deb12u1	gcc-12	12.2.0-14+deb12u1
libsvtav1enc1:amd64	1.4.1+dfsg-1	svt-av1	1.4.1+dfsg-1
libswresample4:amd64	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
libswscale6:amd64	7:5.1.9-0+deb12u1	ffmpeg	7:5.1.9-0+deb12u1
libsystemd0:amd64	252.39-1~deb12u2	systemd	252.39-1~deb12u2
libtasn1-6:amd64	4.19.0-2+deb12u1	libtasn1-6	4.19.0-2+deb12u1
libthai-data	0.1.29-1	libthai	0.1.29-1
libthai0:amd64	0.1.29-1	libthai	0.1.29-1
libtheora0:amd64	1.1.1+dfsg.1-16.1+deb12u1	libtheora	1.1.1+dfsg.1-16.1+deb12u1
libtiff6:amd64	4.5.0-6+deb12u4	tiff	4.5.0-6+deb12u4
libtinfo6:amd64	6.4-4	ncurses	6.4-4
libtwolame0:amd64	0.4.0-2	twolame	0.4.0-2
libudev1:amd64	252.39-1~deb12u2	systemd	252.39-1~deb12u2
libudfread0:amd64	1.1.2-1	libudfread	1.1.2-1
libunistring2:amd64	1.0-2	libunistring	1.0-2
libusb-1.0-0:amd64	2:1.0.26-1	libusb-1.0	2:1.0.26-1
libuuid1:amd64	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
libva-drm2:amd64	2.17.0-1	libva	2.17.0-1
libva-x11-2:amd64	2.17.0-1	libva	2.17.0-1
libva2:amd64	2.17.0-1	libva	2.17.0-1
libvdpau1:amd64	1.5-2	libvdpau	1.5-2
libvidstab1.1:amd64	1.1.0-2+b1	libvidstab	1.1.0-2
libvorbis0a:amd64	1.3.7-1	libvorbis	1.3.7-1
libvorbisenc2:amd64	1.3.7-1	libvorbis	1.3.7-1
libvorbisfile3:amd64	1.3.7-1	libvorbis	1.3.7-1
libvpx7:amd64	1.12.0-1+deb12u5	libvpx	1.12.0-1+deb12u5
libvulkan1:amd64	1.3.239.0-1	vulkan-loader	1.3.239.0-1
libwayland-client0:amd64	1.21.0-1	wayland	1.21.0-1
libwayland-cursor0:amd64	1.21.0-1	wayland	1.21.0-1
libwayland-egl1:amd64	1.21.0-1	wayland	1.21.0-1
libwayland-server0:amd64	1.21.0-1	wayland	1.21.0-1
libwebp7:amd64	1.2.4-0.2+deb12u1	libwebp	1.2.4-0.2+deb12u1
libwebpmux3:amd64	1.2.4-0.2+deb12u1	libwebp	1.2.4-0.2+deb12u1
libx11-6:amd64	2:1.8.4-2+deb12u2	libx11	2:1.8.4-2+deb12u2
libx11-data	2:1.8.4-2+deb12u2	libx11	2:1.8.4-2+deb12u2
libx11-xcb1:amd64	2:1.8.4-2+deb12u2	libx11	2:1.8.4-2+deb12u2
libx264-164:amd64	2:0.164.3095+gitbaee400-3	x264	2:0.164.3095+gitbaee400-3
libx265-199:amd64	3.5-2+b1	x265	3.5-2
libxau6:amd64	1:1.0.9-1	libxau	1:1.0.9-1
libxcb-dri2-0:amd64	1.15-1	libxcb	1.15-1
libxcb-dri3-0:amd64	1.15-1	libxcb	1.15-1
libxcb-glx0:amd64	1.15-1	libxcb	1.15-1
libxcb-present0:amd64	1.15-1	libxcb	1.15-1
libxcb-randr0:amd64	1.15-1	libxcb	1.15-1
libxcb-render0:amd64	1.15-1	libxcb	1.15-1
libxcb-shape0:amd64	1.15-1	libxcb	1.15-1
libxcb-shm0:amd64	1.15-1	libxcb	1.15-1
libxcb-sync1:amd64	1.15-1	libxcb	1.15-1
libxcb-xfixes0:amd64	1.15-1	libxcb	1.15-1
libxcb1:amd64	1.15-1	libxcb	1.15-1
libxcursor1:amd64	1:1.2.1-1	libxcursor	1:1.2.1-1
libxdmcp6:amd64	1:1.1.2-3	libxdmcp	1:1.1.2-3
libxext6:amd64	2:1.3.4-1+b1	libxext	2:1.3.4-1
libxfixes3:amd64	1:6.0.0-2	libxfixes	1:6.0.0-2
libxi6:amd64	2:1.8-1+b1	libxi	2:1.8-1
libxkbcommon0:amd64	1.5.0-1	libxkbcommon	1.5.0-1
libxml2:amd64	2.9.14+dfsg-1.3~deb12u6	libxml2	2.9.14+dfsg-1.3~deb12u6
libxrandr2:amd64	2:1.5.2-2+b1	libxrandr	2:1.5.2-2
libxrender1:amd64	1:0.9.10-1.1	libxrender	1:0.9.10-1.1
libxshmfence1:amd64	1.3-1	libxshmfence	1.3-1
libxss1:amd64	1:1.2.3-1	libxss	1:1.2.3-1
libxv1:amd64	2:1.0.11-1.1	libxv	2:1.0.11-1.1
libxvidcore4:amd64	2:1.3.7-1	xvidcore	2:1.3.7-1
libxxf86vm1:amd64	1:1.1.4-1+b2	libxxf86vm	1:1.1.4-1
libxxhash0:amd64	0.8.1-1	xxhash	0.8.1-1
libz3-4:amd64	4.8.12-3.1	z3	4.8.12-3.1
libzimg2:amd64	3.0.4+ds1-1	zimg	3.0.4+ds1-1
libzmq5:amd64	4.3.4-6	zeromq3	4.3.4-6
libzstd1:amd64	1.5.4+dfsg2-5	libzstd	1.5.4+dfsg2-5
libzvbi-common	0.2.41-1+deb12u1	zvbi	0.2.41-1+deb12u1
libzvbi0:amd64	0.2.41-1+deb12u1	zvbi	0.2.41-1+deb12u1
login	1:4.13+dfsg1-1+deb12u2	shadow	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2	e2fsprogs	1.47.0-2
mawk	1.3.4.20200120-3.1	mawk	1.3.4.20200120-3.1
mount	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
ncurses-base	6.4-4	ncurses	6.4-4
ncurses-bin	6.4-4	ncurses	6.4-4
ocl-icd-libopencl1:amd64	2.3.1-1	ocl-icd	2.3.1-1
openssl	3.0.20-1~deb12u2	openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2	shadow	1:4.13+dfsg1-1+deb12u2
perl-base	5.36.0-7+deb12u3	perl	5.36.0-7+deb12u3
sed	4.9-1+deb12u1	sed	4.9-1+deb12u1
shared-mime-info	2.2-1	shared-mime-info	2.2-1
sysvinit-utils	3.06-4	sysvinit	3.06-4
tar	1.34+dfsg-1.2+deb12u1	tar	1.34+dfsg-1.2+deb12u1
tzdata	2026b-0+deb12u1	tzdata	2026b-0+deb12u1
usr-is-merged	37~deb12u1	usrmerge	37~deb12u1
util-linux	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
util-linux-extra	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
x11-common	1:7.7+23	xorg	1:7.7+23
xkb-data	2.35.1-1	xkeyboard-config	2.35.1-1
zlib1g:amd64	1:1.2.13.dfsg-1	zlib	1:1.2.13.dfsg-1
